run_number,world-size,patch_resolution,landscape_number,hab_amount,clumpiness,specie,perceptual_range,initial_individuals,mortality_habitat,mortality_matrix,min_dist_before_settle,origin_site,min_Ci,var_Ci,behaviours,discharge-rate,En_mean,En_sd,import_hab_quality_surface,hab_quality_folder,hab_quality_per_frag,ac_simple,autocorrelation,ac,
92,150,10,92,25,28,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
93,150,10,93,39,65,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
94,150,10,94,42,10,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
95,150,10,96,41,98,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
96,150,10,95,67,92,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
97,150,10,97,27,36,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
98,150,10,98,12,70,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
99,150,10,99,21,57,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
100,150,10,3,5,32,PQ,100,1000,0.001,0.002,1000,false,0.5,0.4,0,2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
101,150,10,0,29,59,PQ,100,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
102,150,10,6,30,15,PQ,100,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
103,150,10,4,49,92,PQ,100,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
104,150,10,1,50,59,PQ,100,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
105,150,10,2,57,41,PQ,100,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
106,150,10,5,65,30,PQ,100,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
107,150,10,8,6,24,PQ,100,1000,0.001,0.002,1000,false,0.5,0.4,0,2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
108,150,10,7,18,80,PQ,100,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
109,150,10,9,24,45,PQ,100,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
110,150,10,10,5,53,PQ,100,1000,0.001,0.002,1000,false,0.5,0.4,0,2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
